"waldStat" "df" "pvalue" "waldStat_1" "df_1" "pvalue_1" "meanLogFC"
"GSTA4" NA NA NA NA NA NA 0.67404587647426
"XBP1" NA NA NA NA NA NA 0.481922022844682
"BBC3" NA NA NA NA NA NA 0.93647030626408
"DYNLL1" 445.101974563909 6 0 445.101974563909 6 0 0.623419124978735
"ITGA3" NA NA NA NA NA NA 0.905975041542205
"BUB3" NA NA NA NA NA NA 0.419038168454775
"HSP90B1" 125.250861558549 6 0 125.250861558549 6 0 0.15270807929821
"CHORDC1" 48.4778745995679 6 9.48323819471852e-09 48.4778745995679 6 9.48323819471852e-09 0.358635183706912
"EPHB6" NA NA NA NA NA NA 0.482587744372642
"KLF3" NA NA NA NA NA NA 1.2697679445516
"GNA15" NA NA NA NA NA NA 1.36962379315176
"CRNDE" 324.481855120148 6 0 324.481855120148 6 0 0.966490666166804
"NUDT1" 355.694575563256 6 0 355.694575563256 6 0 0.437251730237884
"C19orf48" 228.516194621388 6 0 228.516194621388 6 0 0.497612012900709
"CD47" 0 6 1 0 6 1 0.690848397305853
"UGCG" 206.653869843419 6 0 206.653869843419 6 0 0.634775033224348
"PTMA" 143.25750683805 6 0 143.25750683805 6 0 0.147124318010763
"FXYD5" 200.170031656071 6 0 200.170031656071 6 0 0.455754133139835
"IRX2" 251.041246186396 6 0 251.041246186396 6 0 0.769295747292544
"PNP" 89.7122308701628 6 0 89.7122308701628 6 0 1.14192912193335
"SPTSSA" NA NA NA NA NA NA 0.302628678961799
"TPBG" NA NA NA NA NA NA 0.226743261258821
"LYAR" NA NA NA NA NA NA 1.01306736258772
"FDFT1" 179.397292003736 6 0 179.397292003736 6 0 0.527019825108487
"TNS4" 228.481960413314 6 0 228.481960413314 6 0 0.548488755164816
"CTSB" NA NA NA NA NA NA 0.224640005102287
"HIGD1A" NA NA NA NA NA NA 1.24589849475894
"TCEAL9" NA NA NA NA NA NA 0.636148264762619
"CDC42EP4" 39.6217477621632 6 5.40504171642198e-07 39.6217477621632 6 5.40504171642198e-07 0.26367352081077
"REL" NA NA NA NA NA NA 0.19018309469281
"NAMPT" 52.4988566873245 6 1.48008749700779e-09 52.4988566873245 6 1.48008749700779e-09 0.165345954029737
"S100A13" 317.176435000839 6 0 317.176435000839 6 0 0.545256208589895
"DUOXA1" NA NA NA NA NA NA 1.48361332228745
"PPP1R15A" NA NA NA NA NA NA 0.268160928672039
"TMEM79" 445.757813357073 6 0 445.757813357073 6 0 3.23334454605921
"LIMA1" 0 6 1 0 6 1 0.527840705171336
"CLCA2" 238.201794834897 6 0 238.201794834897 6 0 1.35290701435612
"PYGL" 149.444438886838 6 0 149.444438886838 6 0 1.4374141762883
"SLC25A5" NA NA NA NA NA NA 0.454450955691762
"LMNA" NA NA NA NA NA NA 0.555239824464202
"TRIM47" 212.365987221455 6 0 212.365987221455 6 0 0.725696339595424
"SLC39A6" 138.157936850175 6 0 138.157936850175 6 0 1.01119890749413
"EFNB2" 87.1179323453026 6 1.11022302462516e-16 87.1179323453026 6 1.11022302462516e-16 0.504211670562372
"GATA3" 94.4012376093286 6 0 94.4012376093286 6 0 0.185406104430179
"UBC" 57.6321476169492 6 1.36049616017431e-10 57.6321476169492 6 1.36049616017431e-10 0.278457592212724
"COL18A1" NA NA NA NA NA NA 1.43720320724534
"PAFAH1B3" 0 6 1 0 6 1 0.922703935010677
"MTRNR2L12" NA NA NA NA NA NA 0.0962256220242152
"ZC3H12A" 12.5473316810901 6 0.0508148193135513 12.5473316810901 6 0.0508148193135513 1.2978668819273
"CALM3" NA NA NA NA NA NA 0.331287230583918
"IFI16" 199.491869483515 6 0 199.491869483515 6 0 0.262697712265804
"PCDH7" NA NA NA NA NA NA 0.846878022473602
"SRPK1" NA NA NA NA NA NA 0.554683910872328
"PLIN3" NA NA NA NA NA NA 1.18894472629355
"UBE2L6" 26.3651671214517 6 0.00019033171622107 26.3651671214517 6 0.00019033171622107 0.631796315676851
