"waldStat" "df" "pvalue" "waldStat_1" "df_1" "pvalue_1" "meanLogFC"
"MT1X" 767.971558194261 6 0 767.971558194261 6 0 0.786967068136641
"SFRP1" 752.978187774167 6 0 752.978187774167 6 0 1.80696033580302
"ADIRF" 256.171474357599 6 0 256.171474357599 6 0 0.847517703755132
"COL17A1" NA NA NA NA NA NA 1.52862982986322
"APOE" NA NA NA NA NA NA 0.568758053869852
"CKS1B" 778.793380771502 6 0 778.793380771502 6 0 0.640619098956407
"METRNL" 1057.5909563998 6 0 1057.5909563998 6 0 3.1259977979915
"HMGN2" NA NA NA NA NA NA 0.398106312783996
"TNFRSF12A" 460.833770636046 6 0 460.833770636046 6 0 0.651582426634347
"C12orf75" 398.391648342533 6 0 398.391648342533 6 0 0.613551365842571
"MX1" 75.5250290444882 6 2.99760216648792e-14 75.5250290444882 6 2.99760216648792e-14 1.06060094538963
"TACSTD2" NA NA NA NA NA NA 2.03460433760895
"GADD45B" 234.447730403156 6 0 234.447730403156 6 0 0.266135517246942
"SQLE" 754.189745600039 6 0 754.189745600039 6 0 0.896884992360887
"SMC4" NA NA NA NA NA NA 0.795757277962143
"ID1" NA NA NA NA NA NA 0.115478220075893
"HES1" NA NA NA NA NA NA 0.545017113599117
"TYMP" NA NA NA NA NA NA 0.98805629156383
"GLTP" NA NA NA NA NA NA 1.39402591901563
"HBEGF" NA NA NA NA NA NA 1.06271056159042
"IFITM3" 927.634097565127 6 0 927.634097565127 6 0 0.579717018509539
"RECQL" NA NA NA NA NA NA 0.310650142491637
"HSP90AA1" 0 6 1 0 6 1 0.261421870572705
"ASS1" NA NA NA NA NA NA 2.26078491524505
"MTRNR2L8" NA NA NA NA NA NA 0.161123129840161
"DUT" 468.892144516052 6 0 468.892144516052 6 0 0.43581639020499
"SERPINB1" 0 6 1 0 6 1 0.801122201085271
"RPS4Y1" NA NA NA NA NA NA 0.313841587089986
"RND3" NA NA NA NA NA NA 0.535459340278068
"H2AFZ" NA NA NA NA NA NA 0.229166653137173
"RNF144B" 151.910536881112 6 0 151.910536881112 6 0 1.80541814592106
"GADD45A" 129.536012618209 6 0 129.536012618209 6 0 0.499640420062614
"ARL6IP1" NA NA NA NA NA NA 0.282505731677327
"IFITM2" NA NA NA NA NA NA 0.781388125252226
"CSTB" 313.839757206557 6 0 313.839757206557 6 0 0.417626769863583
"HSPA1B" 197.271836732709 6 0 197.271836732709 6 0 0.304417821202392
"KCNK7" NA NA NA NA NA NA 1.72491991295017
"NDRG1" NA NA NA NA NA NA 1.4142943970067
"SDR16C5" NA NA NA NA NA NA 0.988735641416113
"NEAT1" NA NA NA NA NA NA 0.875744616170174
"HSPA1A" 0 6 1 0 6 1 0.308541706600185
"KLK11" NA NA NA NA NA NA 3.3720855385714
"KLF2" NA NA NA NA NA NA 1.21240161180969
"MCM7" NA NA NA NA NA NA 0.867852525365618
"SGK1" 125.756560892383 6 0 125.756560892383 6 0 0.3413670228674
"TPPP3" NA NA NA NA NA NA 5.1325359543236
"UBR4" NA NA NA NA NA NA 2.0338679496309
"ID3" NA NA NA NA NA NA 0.108195769847402
"PDZK1IP1" 426.723130025112 6 0 426.723130025112 6 0 1.75458930035169
"ITGA6" NA NA NA NA NA NA 1.32436310370557
"LAMB3" NA NA NA NA NA NA 1.29849744869986
"S100A10" NA NA NA NA NA NA 0.43798210009411
"GGH" NA NA NA NA NA NA 0.883027884953054
"ITPKC" NA NA NA NA NA NA 1.66085246836169
"CTNNBIP1" NA NA NA NA NA NA 0.929001733325194
